abs_diff_of_means,T-0.05C,T-0.10C,T-0.15C,T-0.20C,T-0.25C,T-0.40C,T-0.45C,T-0.50C,T-0.55C,T-0.60C,T-0.65C,T-0.70C,T-0.75C,T-0.80C,T-0.85C,T-0.90C,T-0.95C
conv4_1,642.8141479492,621.1198120117,588.2246704102,541.8486938477,491.8052062988,457.44921875,397.0700378418,358.4624633789,321.9302368164,251.9395904541,212.8675537109,185.1702575684,127.739440918,110.100692749,82.1858825684,58.09715271,36.4745597839
relu4_1,312.4299926758,300.6297912598,285.0808105469,263.2336120605,240.6444702148,225.1767730713,198.5815582275,180.6234588623,163.9328460693,131.1479949951,112.9686965942,98.9054718018,70.0778427124,60.0067672729,44.8260917664,31.5067558289,19.625831604
conv4_2,675.3692016602,655.10546875,621.8873901367,575.6807861328,527.3718261719,499.6303710938,438.6146240234,398.379699707,361.2661743164,287.2216491699,247.4311981201,214.2220001221,153.4440917969,129.8822479248,96.6287689209,67.2567977905,41.8190956116
relu4_2,224.1335754395,215.518081665,204.5736999512,189.6697235107,175.0145111084,167.9047698975,148.6043395996,136.0900878906,124.8029937744,100.7218399048,88.0652084351,75.8869628906,55.6111793518,46.370803833,34.5564994812,23.8004226685,14.7796697617
conv4_3,506.4302978516,487.1371154785,460.7463684082,426.5858459473,393.3187255859,368.9313659668,323.4107666016,295.9918212891,271.3247375488,217.8500823975,191.3377380371,163.9559783936,121.3207702637,102.4161682129,76.6042709351,53.1915664673,33.3550949097
relu4_3,135.1035614014,129.9590606689,123.2094345093,113.9158782959,105.1922454834,101.5183334351,88.5144958496,80.7848739624,73.6860961914,58.0726356506,50.4178199768,42.4282112122,30.7899742126,25.4729652405,18.9837265015,13.0448093414,8.1633558273
conv4_4,340.0778808594,328.4445800781,309.3797912598,284.2261352539,261.0158691406,236.8092041016,201.3671112061,181.3313751221,163.2958374023,126.3119430542,108.2297897339,90.6785736084,65.0298233032,53.7109069824,40.0153541565,27.3757019043,17.1101722717
relu4_4,32.7275466919,31.6574478149,29.8288402557,27.4356632233,25.2474536896,23.8480033875,20.0217857361,18.0248470306,16.2546424866,12.6373653412,11.0183229446,9.3512210846,7.0061721802,5.8278927803,4.3629870415,2.9850893021,1.8762910366
pool4,74.6399002075,72.0122070313,67.6182556152,61.9055137634,56.6810531616,53.4517288208,44.3741188049,39.7649459839,35.7213516235,27.4634876251,23.8310680389,20.1003360748,14.9863805771,12.4378185272,9.3211336136,6.3962750435,4.0481185913
conv5_1,213.6136779785,206.0771331787,192.2548675537,175.9222106934,160.1766204834,145.0611877441,113.2122344971,99.4264373779,87.5427474976,64.219909668,55.4216842651,45.8978729248,35.0164413452,28.9415035248,21.8733539581,14.9987068176,10.120259285
relu5_1,50.3763122559,48.3411254883,45.3675003052,41.8883285522,38.4970703125,35.3586235046,28.1092605591,25.2139644623,22.6993713379,17.5067272186,15.515581131,12.9790496826,9.9702138901,8.0221672058,6.0493264198,4.1172246933,2.7136695385
conv5_2,135.6563873291,129.5514831543,119.8088531494,110.0266494751,100.250038147,85.2938079834,64.3654708862,56.8297691345,50.6442909241,38.2875022888,33.845916748,28.3102283478,22.5649280548,18.2786216736,13.8673801422,9.363571167,6.4393672943
relu5_2,20.6807956696,20.0149269104,18.8117771149,17.4233818054,15.9487962723,14.6233692169,11.3677825928,10.2979774475,9.2955656052,7.0930304527,6.3080468178,5.2641401291,4.1502656937,3.268440485,2.461158514,1.6353850365,1.0753356218
conv5_3,77.2349319458,73.9749221802,68.0998153687,62.4805297852,55.7058563232,46.216468811,33.6445999146,29.8232936859,26.356924057,19.0672740936,16.8323993683,14.219792366,11.9119758606,9.8384513855,7.4684271812,4.9618730545,3.4835875034
relu5_3,7.4862856865,7.2775101662,6.9431276321,6.5594053268,6.1252946854,5.6951208115,4.3677816391,3.9713888168,3.5773146152,2.7164115906,2.4910962582,2.1174986362,1.8083337545,1.4440690279,1.0921138525,0.7161874771,0.4827789664
conv5_4,26.3791503906,25.4287757874,23.4390563965,21.9345359802,19.9114456177,17.6725158691,12.9535484314,11.7268238068,10.666601181,8.5477085114,8.0081148148,6.8834576607,6.596265316,5.5320720673,4.1611647606,2.7153615952,1.9284490347
relu5_4,0.8565233946,0.8442305923,0.8120104671,0.7574933767,0.7057181597,0.6665527821,0.4856801033,0.4276402593,0.3780723512,0.2662800252,0.2283482701,0.1817289144,0.1352436692,0.1086177826,0.0818045884,0.0559960715,0.0383678488
pool5,1.191323638,1.1720709801,1.1342769861,1.0606988668,0.9859499931,0.9291433096,0.6787813902,0.6050695181,0.5402588248,0.3860625923,0.3371068537,0.2712853253,0.2077700496,0.1635558605,0.1242759749,0.084671177,0.0561479293
fc6,7.8081803322,7.6957354546,7.3761591911,6.9333777428,6.4736151695,5.7456088066,4.182369709,3.6571893692,3.2240827084,2.2935521603,1.9552243948,1.5948623419,1.1655948162,0.9526421428,0.7333827615,0.5291107297,0.4033396244
relu6,2.0420484543,1.9999585152,1.9245977402,1.8330057859,1.746961236,1.5702596903,1.1649403572,1.0390338898,0.9458718896,0.7357900143,0.6473166943,0.5780659914,0.4490904212,0.3899036646,0.3025511205,0.2197003067,0.1651743054
fc7,2.3296098709,2.2915480137,2.2060835361,2.0977518559,1.9945113659,1.6277272701,1.139269352,0.9869088531,0.8845168948,0.6859414577,0.5983939767,0.5473343134,0.4123404026,0.3603949845,0.2818391025,0.210824728,0.1710813493
relu7,0.3992331028,0.3868512809,0.3716052771,0.3525448143,0.3308763802,0.3151160777,0.2411529273,0.2242516577,0.2091347277,0.1695370376,0.1487760842,0.1369587183,0.1022844911,0.0929531157,0.0718746707,0.0520506874,0.0379852802
fc8,1.3845815659,1.3251422644,1.2683956623,1.1858408451,1.0571826696,1.0095379353,0.7770897746,0.7308400869,0.6823371053,0.5259124041,0.4377910793,0.3814000487,0.2647908032,0.2381600142,0.17453973,0.1202430353,0.0837685019
