abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
Task 11,3.897852898,4.677352905,2.47124958,19.06632805,11.81675243,16.17529297,54.55390167,28.12963295,97.48150635,42.62909698,72.84165955,158.5984192,65.52893829,191.9939423,79.33380127,180.1034393,63.1680069,110.0008545,214.7540588,73.29486847,169.615509,44.12414169,100.9307251,12.11771584,23.64902115,62.23843002,13.44285393,33.57680893,5.550452232,16.71772575,0.430071384,0.639538527,3.99993515,1.231808543,1.219054461,0.298543036,0.65661943
Task 12,3.496439219,4.195536613,2.230055809,17.24102783,10.72149277,14.62824154,49.21721649,25.66475487,89.35128021,39.29073334,66.93025208,142.7754669,59.39706802,172.4348297,72.26104736,164.7966919,58.82795715,102.3329773,201.6522217,69.12565613,160.8114014,41.60527802,94.96324158,11.32858849,22.09609413,57.96608353,12.55834866,31.56069565,5.201320171,15.45785809,0.385952771,0.571983516,3.537537575,1.135238409,1.094584465,0.280889362,0.61464113
Task 13,3.094082117,3.712750912,1.984350681,15.31829071,9.585195541,13.04797745,43.88728714,23.25345802,81.58049011,36.09037018,61.33797073,128.1721497,53.74226761,154.6286621,65.75972748,151.1206512,54.67802811,95.01560211,189.0071564,65.04735565,151.8663483,39.08201599,89.27515411,10.54933548,20.55975723,53.85141754,11.70346737,29.77374077,4.849609852,14.36926365,0.35017091,0.515885115,3.161991835,1.046200156,0.986327767,0.262208968,0.582997322
Task 14,2.691891193,3.229978085,1.733525515,13.35704041,8.418328285,11.45215702,38.56287384,20.82956696,73.70745087,32.79375458,55.70487976,113.9618378,48.21644974,137.3169708,59.29206085,137.648941,50.31129837,87.28246307,175.1040802,60.5355835,141.6655121,36.24636078,83.0258255,9.697648048,18.87217331,49.4439888,10.77387238,27.9403019,4.459305286,13.34906387,0.315271884,0.46258235,2.828877449,0.957092822,0.883070409,0.242743224,0.559701741
Task 15,2.319947004,2.784380198,1.499175072,11.53556728,7.321352482,9.969665527,33.64907074,18.54261017,66.17327118,29.57369041,50.2898407,100.8382492,43.06936264,121.439064,53.2079277,124.9939117,45.98003387,79.62658691,160.6452942,55.81534958,130.7250061,33.24268723,76.49645233,8.825556755,17.16378403,45.00295639,9.832709312,26.08320236,4.055819988,12.3935585,0.284537435,0.416373938,2.570792913,0.882393122,0.805074334,0.227294236,0.540905416
Task 16,1.917457223,2.302158833,1.244375587,9.553717613,6.102542877,8.339252472,28.28894806,15.96186161,57.54021454,25.81155777,44.03768921,86.40296173,37.32422256,104.1053925,46.32556534,110.4828033,40.78619385,70.46512604,142.259903,49.7077179,116.3293381,29.35527611,68.06338501,7.729976654,15.02008438,39.46811676,8.650226593,23.48663521,3.535290718,11.16317272,0.250831097,0.364192575,2.333337784,0.812456191,0.733092129,0.21113947,0.517556548
Task 17,1.514502287,1.819778442,0.987655401,7.564033508,4.865413189,6.680651665,22.79405022,13.17187023,47.97384262,21.56398964,36.96519089,70.95682526,31.06997681,85.76555634,38.67489624,93.8717041,34.61989594,59.62246704,119.2125092,41.85577393,97.69987488,24.42127419,57.26441956,6.416061878,12.45841408,32.74851608,7.177003384,19.5333004,2.85953784,9.369502068,0.21460405,0.30758512,2.067877531,0.727776051,0.650638819,0.190084115,0.482367486
Task 18,1.111607194,1.338773489,0.729627788,5.566391468,3.607426643,4.975554943,17.06240845,10.0947094,37.15288162,16.74633598,28.85607147,54.23009872,24.12850571,66.06013489,30.11371994,74.86168671,27.41276169,46.98534775,91.7312851,32.30675125,74.9317627,18.5607357,44.21653748,4.904138088,9.541995049,24.91141891,5.435388565,14.35336876,2.085191488,7.084082603,0.173133329,0.246543363,1.744459033,0.623794496,0.561035156,0.166311994,0.433168858
Task 19,0.738540351,0.894236684,0.489531845,3.708652973,2.422021627,3.344256401,11.51075745,6.939202785,25.8227272,11.74257946,20.29720116,37.78123093,17.12085152,47.03933334,21.66201782,55.66070557,20.08262825,34.32614136,64.4412384,22.73639297,52.01897812,12.75440979,30.92220879,3.38198781,6.614087105,16.9968605,3.705562115,9.312063217,1.373673916,4.75667572,0.124084651,0.180265129,1.321963549,0.481997162,0.44303751,0.130337223,0.33613804
Task 20,0.336462319,0.419241995,0.231526583,1.715087056,1.127993107,1.545283556,5.29345274,3.230925322,12.18505764,5.688448429,9.766742706,18.87332726,8.734827995,24.78872871,11.60309505,31.10843086,10.79438877,18.56873894,32.78019333,11.70026493,26.40435982,6.234219074,15.14162731,1.644202709,3.238276958,8.307409286,1.826969981,4.486748695,0.647448957,2.196730852,0.053233888,0.079942122,0.53933239,0.200645462,0.183242217,0.053337246,0.125242487
Task 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
